code,area,qualification
15.03.04,Автоматизация технологических процессов и производств,Бакалавр
15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств,Бакалавр
15.03.06,Мехатроника и робототехника,Бакалавр
16.03.01,Техническая физика,Бакалавр
16.03.02,Высокотехнологические плазменные и энергетические установки,Бакалавр
16.03.03,"Холодильная, криогенная техника и системы жизнеобеспечения",Бакалавр
17.03.01,Корабельное вооружение,Бакалавр
18.03.01,Химическая технология,Бакалавр
18.03.02,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",Бакалавр
19.03.01,Биотехнология,Бакалавр
19.03.02,Продукты питания из растительного сырья,Бакалавр
19.03.03,Продукты питания животного происхождения,Бакалавр
19.03.04,Технология продукции и организация общественного питания,Бакалавр
20.03.01,Техносферная безопасность,Бакалавр
20.03.02,Природообустройство и водопользование,Бакалавр
21.03.01,Нефтегазовое дело,Бакалавр
21.03.02,Землеустройство и кадастры,Бакалавр
21.03.03,Геодезия и дистанционное зондирование,Бакалавр
22.03.01,Материаловедение и технологии материалов,Бакалавр
22.03.02,Металлургия,Бакалавр
23.03.01,Технология транспортных процессов,Бакалавр
23.03.02,Наземные транспортно-технологические комплексы,Бакалавр
23.03.03,Эксплуатация транспортно-технологических машин и комплексов,Бакалавр
24.03.01,Ракетные комплексы и космонавтика,Бакалавр
24.03.02,Системы управления движением и навигация,Бакалавр
24.03.03,Баллистика и гидроаэродинамика,Бакалавр
24.03.04,Авиастроение,Бакалавр
24.03.05,Двигатели летательных аппаратов,Бакалавр
25.03.01,Техническая эксплуатация летательных аппаратов и двигателей,Бакалавр
25.03.02,Техническая эксплуатация авиационных электросистем и пилотажно-навигационных комплексов,Бакалавр
25.03.03,Аэронавигация,Бакалавр
25.03.04,Эксплуатация аэропортов и обеспечение полетов воздушных судов,Бакалавр
26.03.01,Управление водным транспортом и гидрографическое обеспечение судоходства,Бакалавр
26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры",Бакалавр
26.03.03,"Водные пути, порты и гидротехнические сооружения",Бакалавр
26.03.04,Инженерно-экономическое обеспечение технологий и бизнес-процессов водного транспорта,Бакалавр
27.03.01,Стандартизация и метрология,Бакалавр
27.03.02,Управление качеством,Бакалавр
27.03.03,Системный анализ и управление,Бакалавр
27.03.04,Управление в технических системах,Бакалавр
27.03.05,Инноватика,Бакалавр
28.03.01,Нанотехнологии и микросистемная техника,Бакалавр
28.03.02,Наноинженерия,Бакалавр
28.03.03,Наноматериалы,Бакалавр
29.03.01,Технология изделий легкой промышленности,Бакалавр
29.03.02,Технологии и проектирование текстильных изделий,Бакалавр
29.03.03,Технология полиграфического и упаковочного производства,Бакалавр
29.03.04,Технология художественной обработки материалов,Бакалавр
29.03.05,Конструирование изделий легкой промышленности,Бакалавр
34.03.01,Сестринское дело,Академическая медицинская сестра (для лиц мужского пола - Академический медицинский брат). Преподаватель
35.03.01,Лесное дело,Бакалавр
35.03.02,Технология лесозаготовительных и деревоперерабатывающих производств,Бакалавр
35.03.03,Агрохимия и агропочвоведение,Бакалавр
35.03.04,Агрономия,Бакалавр
35.03.05,Садоводство,Бакалавр
35.03.06,Агроинженерия,Бакалавр
35.03.07,Технология производства и переработки сельскохозяйственной продукции,Бакалавр
35.03.08,Водные биоресурсы и аквакультура,Бакалавр
35.03.09,Промышленное рыболовство,Бакалавр
35.03.10,Ландшафтная архитектура,Бакалавр
35.03.11,Гидромелиорация,Бакалавр
36.03.01,Ветеринарно-санитарная экспертиза,Бакалавр
36.03.02,Зоотехния,Бакалавр
37.03.01,Психология,Бакалавр
37.03.02,Конфликтология,Бакалавр
38.03.01,Экономика,Бакалавр
38.03.02,Менеджмент,Бакалавр
38.03.03,Управление персоналом,Бакалавр
38.03.04,Государственное и муниципальное управление,Бакалавр
38.03.05,Бизнес-информатика,Бакалавр
38.03.06,Торговое дело,Бакалавр
38.03.07,Товароведение,Бакалавр
38.03.10,Жилищное хозяйство и коммунальная инфраструктура,Бакалавр
39.03.01,Социология,Бакалавр
39.03.02,Социальная работа,Бакалавр
39.03.03,Организация работы с молодежью,Бакалавр
40.03.01,Юриспруденция,Бакалавр
40.03.02,Обеспечение законности и правопорядка,Бакалавр
41.03.01,Зарубежное регионоведение,Бакалавр
41.03.02,Регионоведение России,Бакалавр
41.03.03,Востоковедение и африканистика,Бакалавр
41.03.04,Политология,Бакалавр
41.03.05,Международные отношения,Бакалавр
41.03.06,Публичная политика и социальные науки,Бакалавр
42.03.01,Реклама и связи с общественностью,Бакалавр
42.03.02,Журналистика,Бакалавр
42.03.03,Издательское дело,Бакалавр
42.03.04,Телевидение,Бакалавр
42.03.05,Медиакоммуникации,Бакалавр
43.03.01,Сервис,Бакалавр
43.03.02,Туризм,Бакалавр
43.03.03,Гостиничное дело,Бакалавр
44.03.01,Педагогическое образование,Бакалавр
44.03.02,Психолого-педагогическое образование,Бакалавр
44.03.03,Специальное (дефектологическое) образование,Бакалавр
44.03.04,Профессиональное обучение (по отраслям),Бакалавр
44.03.05,Педагогическое образование (с двумя профилями подготовки),Бакалавр
45.03.01,Филология,Бакалавр
45.03.02,Лингвистика,Бакалавр
45.03.03,Фундаментальная и прикладная лингвистика,Бакалавр
45.03.04,Интеллектуальные системы в гуманитарной сфере,Бакалавр
46.03.01,История,Бакалавр
46.03.02,Документоведение и архивоведение,Бакалавр
46.03.03,Антропология и этнология,Бакалавр
46.03.04,Археология,Бакалавр
47.03.01,Философия,Бакалавр
47.03.02,Прикладная этика,Бакалавр
47.03.03,Религиоведение,Бакалавр
48.03.01,Теология,Бакалавр
49.03.01,Физическая культура,Бакалавр
49.03.02,Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура),Бакалавр
49.03.03,Рекреация и спортивно-оздоровительный туризм,Бакалавр
49.03.04,Спорт,Тренер по виду спорта. Преподаватель
50.03.01,Искусства и гуманитарные науки,Бакалавр
50.03.02,Изящные искусства,Бакалавр
50.03.03,История искусств,Бакалавр
50.03.04,Теория и история искусств,Бакалавр
51.03.01,Культурология,Бакалавр
51.03.02,Народная художественная культура,Бакалавр
51.03.03,Социально-культурная деятельность,Бакалавр
51.03.04,Музеология и охрана объектов культурного и природного наследия,Бакалавр
51.03.05,Режиссура театрализованных представлений и праздников,Бакалавр
51.03.06,Библиотечно-информационная деятельность,Бакалавр
52.03.01,Хореографическое искусство,Бакалавр
52.03.02,Хореографическое исполнительство,Бакалавр
52.03.03,Цирковое искусство,Бакалавр
52.03.04,Технология художественного оформления спектакля,Бакалавр
52.03.05,Театроведение,Бакалавр
52.03.06,Драматургия,Бакалавр
53.03.01,Музыкальное искусство эстрады,Концертный исполнитель. Артист ансамбля. Преподаватель (Инструменты эстрадного оркестра)
53.03.02,Музыкально-инструментальное искусство,Артист ансамбля. Концертмейстер. Преподаватель (Фортепиано)
53.03.03,Вокальное искусство,Концертно-камерный певец. Преподаватель (Академическое пение)
53.03.04,Искусство народного пения,Хормейстер. Руководитель творческого коллектива. Преподаватель (Хоровое народное пение)
53.03.05,Дирижирование,Дирижер хора. Хормейстер. Артист хора. Преподаватель (Дирижирование академическим хором)
53.03.06,Музыкознание и музыкально-прикладное искусство,Музыковед. Преподаватель. Лектор (музыковедение)
54.03.01,Дизайн,Бакалавр
54.03.02,Декоративно-прикладное искусство и народные промыслы,Бакалавр
54.03.03,Искусство костюма и текстиля,Бакалавр
54.03.04,Реставрация,Бакалавр
54.03.05,Традиционное прикладное искусство,Бакалавр
01.05.01,Фундаментальные математика и механика,Математик. Механик. Преподаватель
03.05.01,Астрономия,Астроном. Преподаватель
03.05.02,Фундаментальная и прикладная физика,Физик. Преподаватель
04.05.01,Фундаментальная и прикладная химия,Химик. Преподаватель химии.
06.05.01,Биоинженерия и биоинформатика,Биоинженер и биоинформатик
06.05.02,Фундаментальная и прикладная биология,Биолог-исследователь
08.05.01,Строительство уникальных зданий и сооружений,Инженер-строитель
08.05.02,"Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей",Инженер
10.05.01,Компьютерная безопасность,Специалист по защите информации
10.05.02,Информационная безопасность телекоммуникационных систем,Специалист по защите информации
10.05.03,Информационная безопасность автоматизированных систем,Специалист по защите информации
10.05.04,Информационно-аналитические системы безопасности,Специалист по защите информации
10.05.05,Безопасность информационных технологий в правоохранительной сфере,Специалист по защите информации
11.05.01,Радиоэлектронные системы и комплексы,Инженер
11.05.02,Специальные радиотехнические системы,Инженер специальных радиотехнических систем
12.05.01,Электронные и оптико-электронные приборы и системы специального назначения,Инженер
14.05.01,Ядерные реакторы и материалы,Инженер-физик
14.05.02,"Атомные станции: проектирование, эксплуатация и инжиниринг",Инженер-физик
14.05.03,Технологии разделения изотопов и ядерное топливо,Инженер-физик
15.05.01,Проектирование технологических машин и комплексов,Инженер
16.05.01,Специальные системы жизнеобеспечения,Инженер по эксплуатации специальных систем жизнеобеспечения
17.05.01,Боеприпасы и взрыватели,Инженер
17.05.02,"Стрелково-пушечное, артиллерийское и ракетное оружие",Инженер
17.05.03,"Проектирование, производство и испытание корабельного вооружения и информационно-управляющих систем",Инженер
18.05.01,Химическая технология энергонасыщенных материалов и изделий,Инженер
18.05.02,Химическая технология материалов современной энергетики,Инженер
20.05.01,Пожарная безопасность,Специалист
21.05.01,Прикладная геодезия,Инженер-геодезист
21.05.02,Прикладная геология,Горный инженер-геолог
21.05.03,Технология геологической разведки,Горный инженер-геофизик Горный инженер-буровик
21.05.04,Горное дело,Горный инженер (специалист)
21.05.05,Физические процессы горного или нефтегазового производства,Горный инженер (специалист)
21.05.06,Нефтегазовые техника и технологии,Горный инженер (специалист)
23.05.01,Наземные транспортно-технологические средства,Инженер
23.05.02,Транспортные средства специального назначения,Инженер
23.05.03,Подвижной состав железных дорог,Инженер путей сообщения
23.05.04,Эксплуатация железных дорог,Инженер путей сообщения
23.05.05,Системы обеспечения движения поездов,Инженер путей сообщения
23.05.06,"Строительство железных дорог, мостов и транспортных тоннелей",Инженер путей сообщения
24.05.01,"Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов",Инженер
24.05.02,Проектирование авиационных и ракетных двигателей,Инженер
24.05.03,Испытание летательных аппаратов,Инженер
24.05.04,Навигационно-баллистическое обеспечение применения космической техники,Инженер-баллистик
24.05.05,Интегрированные системы летательных аппаратов,Инженер
24.05.06,Системы управления летательными аппаратами,Инженер
24.05.07,Самолето- и вертолетостроение,Инженер
25.05.01,Техническая эксплуатация и восстановление боевых летательных аппаратов и двигателей,Инженер по эксплуатации летательных аппаратов
25.05.02,Техническая эксплуатация и восстановление электросистем и пилотажно-навигационных комплексов боевых летательных аппаратов,Инженер по эксплуатации электросистем и электронной автоматики летательных аппаратов
25.05.03,Техническая эксплуатация транспортного радиооборудования,Инженер
25.05.04,Летная эксплуатация и применение авиационных комплексов,Инженер по летной эксплуатации летательных аппаратов
25.05.05,Эксплуатация воздушных судов и организация воздушного движения,Инженер
26.05.01,"Проектирование и постройка кораблей, судов и объектов океанотехники",Инженер
26.05.02,"Проектирование, изготовление и ремонт энергетических установок и систем автоматизации кораблей и судов",Инженер
26.05.03,"Строительство, ремонт и поисково-спасательное обеспечение надводных кораблей и подводных лодок",Инженер
26.05.04,Применение и эксплуатация технических систем надводных кораблей и подводных лодок,Инженер
26.05.05,Судовождение,Инженер-судоводитель
26.05.06,Эксплуатация судовых энергетических установок,Инженер-механик
26.05.07,Эксплуатация судового электрооборудования и средств автоматики,Инженер-электромеханик
27.05.01,Специальные организационно-технические системы,Инженер-системотехник
30.05.01,Медицинская биохимия,Врач-биохимик
30.05.02,Медицинская биофизика,Врач-биофизик
30.05.03,Медицинская кибернетика,Врач-кибернетик
31.05.01,Лечебное дело,Врач - лечебник
31.05.02,Педиатрия,Врач - педиатр
31.05.03,Стоматология,Врач - стоматолог
31.05.04,Остеопатия,Врач - остеопат
32.05.01,Медико-профилактическое дело,"Врач по общей гигиене, по эпидемиологии"
33.05.01,Фармация,Провизор
36.05.01,Ветеринария,Ветеринарный врач
37.05.01,Клиническая психология,Клинический психолог
37.05.02,Психология служебной деятельности,Психолог
38.05.01,Экономическая безопасность,Экономист
38.05.02,Таможенное дело,Специалист таможенного дела
40.05.01,Правовое обеспечение национальной безопасности,Юрист
40.05.02,Правоохранительная деятельность,Юрист
40.05.03,Судебная экспертиза,Судебный эксперт
40.05.04,Судебная и прокурорская деятельность,Юрист
44.05.01,Педагогика и психология девиантного поведения,Социальный педагог
45.05.01,Перевод и переводоведение,Лингвист-переводчик
51.05.01,Звукорежиссура культурно-массовых представлений и концертных программ,Звукорежиссер
52.05.01,Актерское искусство,Артист драматического театра и кино. Артист музыкального театра. Артист театра кукол. Артист эстрады. Артист мюзикла
52.05.02,Режиссура театра,Режиссер драмы. Режиссер музыкального театра. Режиссер театра кукол. Режиссер эстрады. Режиссер цирка
52.05.03,Сценография,Художник-постановщик театра. Художник-постановщик в театре кукол. Художник по сценическому костюму Художник по гриму
52.05.04,Литературное творчество,"Литературный работник. Литературный работник, переводчик художественной литературы"
52.05.05,Актерское искусство в музыкальном театре,Артист-вокалист
53.05.01,Искусство концертного исполнительства,Концертный исполнитель. Преподаватель
53.05.02,Художественное руководство оперно-симфоническим оркестром и академическим хором,Дирижер оперно-симфонического оркестра. Преподаватель Дирижер академического хора. Преподаватель
53.05.03,Музыкальная звукорежиссура,Музыкальный звукорежиссер. Преподаватель
53.05.04,Музыкально-театральное искусство,Солист-вокалист. Преподаватель
53.05.05,Музыковедение,Музыковед. Преподаватель
53.05.06,Композиция,Композитор. Преподаватель
53.05.07,Дирижирование военным духовым оркестром,Дирижер военного духового оркестра
54.05.01,Монументально-декоративное искусство,Художник монументально-декоративного искусства (живопись). Художник монументально-декоративного искусства (скульптура). Художник-проектировщик интерьера
54.05.02,Живопись,Художник-живописец (станковая живопись). Художник-живописец (монументальная живопись). Художник-живописец (театрально-декорационная живопись). Художник-живописец (церковно-историческая живопись). Художник-реставратор (станковая масляная живопись). Художник-реставратор (темперная живопись). Художник-реставратор (монументально-декоративная живопись). Художник кино и телевидения. Художник комбинированных съемок. Художник кино и телевидения по костюму
54.05.03,Графика,Художник-график (станковая графика). Художник-график (искусство книги). Художник-график (искусство графики и плаката). Художник-график (оформление печатной продукции). Художник анимации и компьютерной графики. Художник мультипликационного фильма
54.05.04,Скульптура,Художник-скульптор. Художник-скульптор (медальерное искусство). Художник-скульптор (реставрация скульптуры)
54.05.05,Живопись и изящные искусства,Художник
55.05.01,Режиссура кино и телевидения,Режиссер игрового кино- и телефильма. Режиссер неигрового кино- и телефильма. Режиссер анимации и компьютерной графики. Режиссер телевизионных программ. Режиссер мультимедиа. Режиссер интернет-программ
55.05.02,Звукорежиссура аудиовизуальных искусств,Звукорежиссер аудиовизуальных искусств
55.05.03,Кинооператорство,Кинооператор. Телеоператор
55.05.04,Продюсерство,Продюсер кино и телевидения. Линейный продюсер. Продюсер телевизионных и радиопрограмм. Продюсер мультимедиа. Продюсер исполнительских искусств. Продюсер дистрибьюции
55.05.05,Киноведение,Киновед
05.05.01,Метеорология специального назначения,Инженер
05.05.02,Военная картография,Инженер
09.05.01,Применение и эксплуатация автоматизированных систем специального назначения,Инженер
10.05.06,Криптография,Специалист по защите информации
10.05.07,Противодействие техническим разведкам,Специалист по защите информации
11.05.03,Применение и эксплуатация средств и систем специального мониторинга,Инженер
11.05.04,Инфокоммуникационные технологии и системы специальной связи,Инженер
13.05.01,Тепло- и электрообеспечение специальных технических систем и объектов,Инженер
13.05.02,Специальные электромеханические системы,Инженер
14.05.04,Электроника и автоматика физических установок,Инженер-физик
15.05.02,Робототехника военного и специального назначения,Инженер
17.05.04,Технологии веществ и материалов в вооружении и военной технике,Инженер-технолог
27.05.02,Метрологическое обеспечение вооружения и военной техники,Инженер-метролог
56.05.01,Тыловое обеспечение,Специалист
56.05.02,"Радиационная, химическая и биологическая защита","Специалист в области радиационной, химической и биологической защиты"
56.05.03,Служебно-прикладная физическая подготовка,Специалист по физической культуре и спорту
56.05.04,"Управление персоналом (Вооруженные Силы Российской Федерации, другие войска, воинские формирования и приравненные к ним органы Российской Федерации)",Специалист в области управления
56.05.05,Военная журналистика,Журналист
56.05.06,Защита информации на объектах информатизации военного назначения,Специалист по защите информации
56.05.07,Строительство и эксплуатация зданий и сооружений военного и специального назначения,Инженер по строительству и эксплуатации
56.05.08,Военно-политическая работа,Специалист в области военно-политической работы. Преподаватель
57.05.01,Пограничная деятельность,Специалист по управлению пограничной деятельностью
57.05.02,Государственная охрана,Специалист в области государственной охраны
57.05.03,Технологическое обеспечение национальной безопасности и обороны,Инженер-технолог
01.04.01,Математика,Магистр
01.04.02,Прикладная математика и информатика,Магистр
01.04.03,Механика и математическое моделирование,Магистр
01.04.04,Прикладная математика,Магистр
01.04.05,Статистика,Магистр
02.04.01,Математика и компьютерные науки,Магистр
02.04.02,Фундаментальная информатика и информационные технологии,Магистр
02.04.03,Математическое обеспечение и администрирование информационных систем,Магистр
03.04.01,Прикладные математика и физика,Магистр
03.04.02,Физика,Магистр
03.04.03,Радиофизика,Магистр
04.04.01,Химия,Магистр
04.04.02,"Химия, физика и механика материалов",Магистр
05.04.01,Геология,Магистр
05.04.02,География,Магистр
05.04.03,Картография и геоинформатика,Магистр
05.04.05,Прикладная гидрометеорология,Магистр
05.04.06,Экология и природопользование,Магистр
06.04.01,Биология,Магистр
06.04.02,Почвоведение,Магистр
07.04.01,Архитектура,Магистр
07.04.02,Реконструкция и реставрация архитектурного наследия,Магистр
07.04.03,Дизайн архитектурной среды,Магистр
07.04.04,Градостроительство,Магистр
08.04.01,Строительство,Магистр
09.04.01,Информатика и вычислительная техника,Магистр
09.04.02,Информационные системы и технологии,Магистр
09.04.03,Прикладная информатика,Магистр
09.04.04,Программная инженерия,Магистр
10.04.01,Информационная безопасность,Магистр
11.04.01,Радиотехника,Магистр
11.04.02,Инфокоммуникационные технологии и системы связи,Магистр
11.04.03,Конструирование и технология электронных средств,Магистр
11.04.04,Электроника и наноэлектроника,Магистр
12.04.01,Приборостроение,Магистр
12.04.02,Оптотехника,Магистр
12.04.03,Фотоника и оптоинформатика,Магистр
12.04.04,Биотехнические системы и технологии,Магистр
12.04.05,Лазерная техника и лазерные технологии,Магистр
13.04.01,Теплоэнергетика и теплотехника,Магистр
13.04.02,Электроэнергетика и электротехника,Магистр
13.04.03,Энергетическое машиностроение,Магистр
14.04.01,Ядерная энергетика и теплофизика,Магистр
14.04.02,Ядерные физика и технологии,Магистр
15.04.01,Машиностроение,Магистр
15.04.02,Технологические машины и оборудование,Магистр
15.04.03,Прикладная механика,Магистр
15.04.04,Автоматизация технологических процессов и производств,Магистр
15.04.05,Конструкторско-технологическое обеспечение машиностроительных производств,Магистр
15.04.06,Мехатроника и робототехника,Магистр
16.04.01,Техническая физика,Магистр
16.04.02,Высокотехнологические плазменные и энергетические установки,Магистр
16.04.03,"Холодильная, криогенная техника и системы жизнеобеспечения",Магистр
17.04.01,Корабельное вооружение,Магистр
18.04.01,Химическая технология,Магистр
18.04.02,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",Магистр
19.04.01,Биотехнология,Магистр
19.04.02,Продукты питания из растительного сырья,Магистр
19.04.03,Продукты питания животного происхождения,Магистр
19.04.04,Технология продукции и организация общественного питания,Магистр
19.04.05,Высокотехнологичные производства пищевых продуктов функционального и специализированного назначения,Магистр
20.04.01,Техносферная безопасность,Магистр
20.04.02,Природообустройство и водопользование,Магистр
21.04.01,Нефтегазовое дело,Магистр
21.04.02,Землеустройство и кадастры,Магистр
21.04.03,Геодезия и дистанционное зондирование,Магистр
22.04.01,Материаловедение и технологии материалов,Магистр
22.04.02,Металлургия,Магистр
23.04.01,Технология транспортных процессов,Магистр
23.04.02,Наземные транспортно-технологические комплексы,Магистр
23.04.03,Эксплуатация транспортно-технологических машин и комплексов,Магистр
24.04.01,Ракетные комплексы и космонавтика,Магистр
24.04.02,Системы управления движением и навигация,Магистр
24.04.03,Баллистика и гидроаэродинамика,Магистр
24.04.04,Авиастроение,Магистр
24.04.05,Двигатели летательных аппаратов,Магистр
25.04.01,Техническая эксплуатация летательных аппаратов и двигателей,Магистр
25.04.02,Техническая эксплуатация авиационных электросистем и пилотажно-навигационных комплексов,Магистр
25.04.03,Аэронавигация,Магистр
25.04.04,Эксплуатация аэропортов и обеспечение полетов воздушных судов,Магистр
26.04.01,Управление водным транспортом и гидрографическое обеспечение судоходства,Магистр
26.04.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры",Магистр
27.04.01,Стандартизация и метрология,Магистр
27.04.02,Управление качеством,Магистр
27.04.03,Системный анализ и управление,Магистр
27.04.04,Управление в технических системах,Магистр
27.04.05,Инноватика,Магистр
27.04.06,Организация и управление наукоемкими производствами,Магистр
27.04.07,Наукоемкие технологии и экономика инноваций,Магистр
27.04.08,Управление интеллектуальной собственностью,Магистр. Инженер-патентовед
28.04.01,Нанотехнологии и микросистемная техника,Магистр
28.04.02,Наноинженерия,Магистр
28.04.03,Наноматериалы,Магистр
28.04.04,Наносистемы и наноматериалы,Магистр
29.04.01,Технология изделий легкой промышленности,Магистр
29.04.02,Технологии и проектирование текстильных изделий,Магистр
29.04.03,Технология полиграфического и упаковочного производства,Магистр
29.04.04,Технология художественной обработки материалов,Магистр
29.04.05,Конструирование изделий легкой промышленности,Магистр
32.04.01,Общественное здравоохранение,Магистр
33.04.01,Промышленная фармация,Магистр
34.04.01,Управление сестринской деятельностью,Магистр
35.04.01,Лесное дело,Магистр
35.04.02,Технология лесозаготовительных и деревоперерабатывающих производств,Магистр
35.04.03,Агрохимия и агропочвоведение,Магистр
35.04.04,Агрономия,Магистр
35.04.05,Садоводство,Магистр
35.04.06,Агроинженерия,Магистр
35.04.07,Водные биоресурсы и аквакультура,Магистр
35.04.08,Промышленное рыболовство,Магистр
35.04.09,Ландшафтная архитектура,Магистр
35.04.10,Гидромелиорация,Магистр
36.04.01,Ветеринарно-санитарная экспертиза,Магистр
36.04.02,Зоотехния,Магистр
37.04.01,Психология,Магистр
37.04.02,Конфликтология,Магистр
38.04.01,Экономика,Магистр
38.04.02,Менеджмент,Магистр
38.04.03,Управление персоналом,Магистр
38.04.04,Государственное и муниципальное управление,Магистр
38.04.05,Бизнес-информатика,Магистр
38.04.06,Торговое дело,Магистр
38.04.07,Товароведение,Магистр
38.04.08,Финансы и кредит,Магистр
38.04.09,Государственный аудит,Магистр
38.04.10,Жилищное хозяйство и коммунальная инфраструктура,Магистр
39.04.01,Социология,Магистр
39.04.02,Социальная работа,Магистр
39.04.03,Организация работы с молодежью,Магистр
40.04.01,Юриспруденция,Магистр
41.04.01,Зарубежное регионоведение,Магистр
41.04.02,Регионоведение России,Магистр
41.04.03,Востоковедение и африканистика,Магистр
41.04.04,Политология,Магистр
41.04.05,Международные отношения,Магистр
41.04.06,Публичная политика,Магистр
42.04.01,Реклама и связи с общественностью,Магистр
42.04.02,Журналистика,Магистр
42.04.03,Издательское дело,Магистр
42.04.04,Телевидение,Магистр
42.04.05,Медиакоммуникации,Магистр
43.04.01,Сервис,Магистр
43.04.02,Туризм,Магистр
43.04.03,Гостиничное дело,Магистр
44.04.01,Педагогическое образование,Магистр
44.04.02,Психолого-педагогическое образование,Магистр
44.04.03,Специальное (дефектологическое) образование,Магистр
44.04.04,Профессиональное обучение (по отраслям),Магистр
45.04.01,Филология,Магистр
45.04.02,Лингвистика,Магистр
45.04.03,Фундаментальная и прикладная лингвистика,Магистр
45.04.04,Интеллектуальные системы в гуманитарной среде,Магистр
46.04.01,История,Магистр
46.04.02,Документоведение и архивоведение,Магистр
46.04.03,Антропология и этнология,Магистр
46.04.04,Археология,Магистр
47.04.01,Философия,Магистр
47.04.02,Прикладная этика,Магистр
47.04.03,Религиоведение,Магистр
48.04.01,Теология,Магистр
49.04.01,Физическая культура,Магистр
49.04.02,Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура),Магистр
49.04.03,Спорт,Магистр
50.04.01,Искусства и гуманитарные науки,Магистр
50.04.02,Изящные искусства,Магистр
50.04.03,История искусств,Магистр
50.04.04,Теория и история искусств,Магистр
51.04.01,Культурология,Магистр
51.04.02,Народная художественная культура,Магистр
51.04.03,Социально-культурная деятельность,Магистр
51.04.04,Музеология и охрана объектов культурного и природного наследия,Магистр
51.04.05,Режиссура театрализованных представлений и праздников,Магистр
51.04.06,Библиотечно-информационная деятельность,Магистр
52.04.01,Хореографическое искусство,Магистр
52.04.02,Драматургия,Магистр
52.04.03,Театральное искусство,Магистр
53.04.01,Музыкально-инструментальное искусство,Магистр
53.04.02,Вокальное искусство,Магистр
53.04.03,Искусство народного пения,Магистр
53.04.04,Дирижирование,Магистр
53.04.05,Искусство,Магистр
53.04.06,Музыкознание и музыкально-прикладное искусство,Магистр
54.04.01,Дизайн,Магистр
54.04.02,Декоративно-прикладное искусство и народные промыслы,Магистр
54.04.03,Искусство костюма и текстиля,Магистр
54.04.04,Реставрация,Магистр
54.04.05,Традиционное прикладное искусство,Магистр
56.04.01,Национальная безопасность и оборона государства,Магистр
56.04.02,Управление воинскими частями и соединениями,Магистр
56.04.03,Управление боевым обеспечением войск (сил),Магистр
56.04.04,Управление техническим обеспечением войск (сил),Магистр
56.04.05,"Управление информационной безопасностью органов управления, систем и комплексов военного назначения",Магистр
56.04.06,Управление производством и развитием вооружения и военной техники,Магистр
56.04.07,Управление использованием атомной энергии и обеспечением ядерной безопасности в области ядерных установок военного назначения,Магистр
